Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
Everyday Essentials Strawberries 227g,1.79,,fresh_food,fruits,Aldi,2025,2,4,7.89,0.0,1.0,0.0
Nature's Pick Bananas 5 Pack,0.78,,fresh_food,fruits,Aldi,2025,2,4,0.16,1.0,0.0,0.0
Nature's Pick Strawberries 400g,3.19,,fresh_food,fruits,Aldi,2025,2,4,7.98,0.0,1.0,0.0
Specially Selected Easy Peelers 600g,1.19,,fresh_food,fruits,Aldi,2025,2,4,1.98,0.0,1.0,0.0
Nature's Pick Loose Bananas Each,0.16,,fresh_food,fruits,Aldi,2025,2,4,0.16,1.0,0.0,0.0
Nature's Pick Crownless Pineapple Each,0.99,,fresh_food,fruits,Aldi,2025,2,4,0.99,1.0,0.0,0.0
Everyday Essentials Blackberries 150g,1.69,,fresh_food,fruits,Aldi,2025,2,4,11.27,0.0,1.0,0.0
Everyday Essentials Oranges 10 Pack,1.99,,fresh_food,fruits,Aldi,2025,2,4,0.2,1.0,0.0,0.0
Nature's Pick Rte Plums 4 Pack,1.89,,fresh_food,fruits,Aldi,2025,2,4,0.47,1.0,0.0,0.0
Nature's Pick Rte Nectarines 4 Pack,1.89,,fresh_food,fruits,Aldi,2025,2,4,0.47,1.0,0.0,0.0
The Foodie Market Dino Gems Fruit Sweets 5x20g/5 Pack,1.09,,fresh_food,fruits,Aldi,2025,2,4,10.9,0.0,1.0,0.0
The Foodie Market Dino Tails Fruit Sweets 5x20g/5 Pack,1.09,,fresh_food,fruits,Aldi,2025,2,4,10.9,0.0,1.0,0.0
The Foodie Market Soft Apricots 500g,2.99,,fresh_food,fruits,Aldi,2025,2,4,5.98,0.0,1.0,0.0
The Foodie Market Raisins Mini Snacks 12x14g,0.89,,fresh_food,fruits,Aldi,2025,2,4,5.300000000000001,0.0,1.0,0.0
The Foodie Market Soft Dried Apricots 500g,2.99,,fresh_food,fruits,Aldi,2025,2,4,5.98,0.0,1.0,0.0
Nature's Pick Royal Gala Apples 6 Pack,1.49,,fresh_food,fruits,Aldi,2025,2,4,0.25,1.0,0.0,0.0
Nature's Pick Lychees 200g,1.39,,fresh_food,fruits,Aldi,2025,2,4,6.95,0.0,1.0,0.0
Nature's Pick Braeburn Apples 6 Pack,1.49,,fresh_food,fruits,Aldi,2025,2,4,0.25,1.0,0.0,0.0
Nature's Pick Mini Apples 6 Pack,1.09,,fresh_food,fruits,Aldi,2025,2,4,0.18,1.0,0.0,0.0
Nature's Pick Conference Pears 610g,1.39,,fresh_food,fruits,Aldi,2025,2,4,2.28,0.0,1.0,0.0
Nature's Pick Mini Pears 550g,0.99,,fresh_food,fruits,Aldi,2025,2,4,0.2,0.0,1.0,0.0
Nature's Pick Cherries 200g,1.29,,fresh_food,fruits,Aldi,2025,2,4,6.45,0.0,1.0,0.0
Nature's Pick Blackberries 150g,1.99,,fresh_food,fruits,Aldi,2025,2,4,13.27,0.0,1.0,0.0
Nature's Pick Raspberries 150g,1.89,,fresh_food,fruits,Aldi,2025,2,4,12.6,0.0,1.0,0.0
Nature's Pick Ripe & Ready Conference Pears 4 Pack,1.79,,fresh_food,fruits,Aldi,2025,2,4,0.45,1.0,0.0,0.0
Nature's Pick Large Oranges 4 Pack,1.89,,fresh_food,fruits,Aldi,2025,2,4,0.47,1.0,0.0,0.0
Nature's Pick Ripe & Ready Medium Avocado 2 Pack,1.49,,fresh_food,fruits,Aldi,2025,2,4,0.75,1.0,0.0,0.0
Nature's Pick Kiwi Fruit 6 Pack,1.19,,fresh_food,fruits,Aldi,2025,2,4,0.2,1.0,0.0,0.0
Nature's Pick Snack Pack Grapes 170g,0.85,,fresh_food,fruits,Aldi,2025,2,4,5.0,0.0,1.0,0.0
Organic Bananas 6 Pack,1.39,,fresh_food,fruits,Aldi,2025,2,4,0.23,1.0,0.0,0.0
Nature's Pick Large Loose Mango Each,0.95,,fresh_food,fruits,Aldi,2025,2,4,0.95,1.0,0.0,0.0
Nature's Pick Pomegranate Each,0.99,,fresh_food,fruits,Aldi,2025,2,4,0.99,1.0,0.0,0.0
The Pantry Sultanas 500g,0.95,,fresh_food,fruits,Aldi,2025,2,4,1.9,0.0,1.0,0.0
The Pantry Raisins 500g,1.29,,fresh_food,fruits,Aldi,2025,2,4,2.58,0.0,1.0,0.0
Foodie Market Sweet Cranberries 150g,1.19,,fresh_food,fruits,Aldi,2025,2,4,7.93,0.0,1.0,0.0
Foodie Market Raisins & Cranberries 300g,1.49,,fresh_food,fruits,Aldi,2025,2,4,4.97,0.0,1.0,0.0
Nature's Pick Apple Snack Pack 80g,0.39,,fresh_food,fruits,Aldi,2025,2,4,4.88,0.0,1.0,0.0
Nature's Pick Apple & Grape Snack Pack 80g,0.39,,fresh_food,fruits,Aldi,2025,2,4,4.88,0.0,1.0,0.0
Everyday Essentials Easy Peelers 600g,0.99,,fresh_food,fruits,Aldi,2025,2,4,1.65,0.0,1.0,0.0
Nature's Pick Oranges 5 Pack,1.29,,fresh_food,fruits,Aldi,2025,2,4,0.26,1.0,0.0,0.0
Nature's Pick Mini Easy Peelers 500g,0.89,,fresh_food,fruits,Aldi,2025,2,4,1.78,0.0,1.0,0.0
Nature's Pick Easy Peelers 600g,1.19,,fresh_food,fruits,Aldi,2025,2,4,1.99,0.0,1.0,0.0
Nature's Pick White Seedless Grapes 500g,1.89,,fresh_food,fruits,Aldi,2025,2,4,3.78,0.0,1.0,0.0
Nature's Pick Mixed Seedless Grapes 500g,1.89,,fresh_food,fruits,Aldi,2025,2,4,3.78,0.0,1.0,0.0
Nature's Pick Black Seedless Grapes 500g,1.89,,fresh_food,fruits,Aldi,2025,2,4,3.78,0.0,1.0,0.0
Nature's Pick Granny Smith Apples 6 Pack,1.49,,fresh_food,fruits,Aldi,2025,2,4,0.25,1.0,0.0,0.0
Nature's Pick Ripen At Home Avocado 4 Pack,1.29,,fresh_food,fruits,Aldi,2025,2,4,0.32,1.0,0.0,0.0
Everyday Essentials Lemons 4 Pack,0.69,,fresh_food,fruits,Aldi,2025,2,4,0.17,1.0,0.0,0.0
Nature's Pick Watermelon Each,2.99,,fresh_food,fruits,Aldi,2025,2,4,2.99,1.0,0.0,0.0
Nature's Pick Galia Melon Each,1.79,,fresh_food,fruits,Aldi,2025,2,4,1.79,1.0,0.0,0.0
Nature's Pick Kiwi Ripe & Ready 4 Pack,1.29,,fresh_food,fruits,Aldi,2025,2,4,0.32,1.0,0.0,0.0
Nature's Pick Twin Pack Mango 2 Pack,1.69,,fresh_food,fruits,Aldi,2025,2,4,0.85,1.0,0.0,0.0
Everyday Essentials Blueberries 125g,1.39,,fresh_food,fruits,Aldi,2025,2,4,11.12,0.0,1.0,0.0
Nature's Pick Sweet Pears 610g,1.39,,fresh_food,fruits,Aldi,2025,2,4,2.28,0.0,1.0,0.0
Nature's Pick Pink Lady Apples 6 Pack,2.59,,fresh_food,fruits,Aldi,2025,2,4,0.43,1.0,0.0,0.0
Nature's Pick Mini Bananas 7 Pack,0.88,,fresh_food,fruits,Aldi,2025,2,4,0.13,1.0,0.0,0.0
Nature's Pick Jazz Apples 6 Pack,2.09,,fresh_food,fruits,Aldi,2025,2,4,0.35,1.0,0.0,0.0
Nature's Pick Strawberries 227g,2.19,,fresh_food,fruits,Aldi,2025,2,4,9.65,0.0,1.0,0.0
"Nature's Pick Apple, Pineapple & Grape 200g",0.99,,fresh_food,fruits,Aldi,2025,2,4,4.95,0.0,1.0,0.0
Specially Selected Raspberries 150g,2.19,,fresh_food,fruits,Aldi,2025,2,4,14.6,0.0,1.0,0.0
Specially Selected Sable Grapes 400g,2.19,,fresh_food,fruits,Aldi,2025,2,4,5.48,0.0,1.0,0.0
Specially Selected Strawberries 227g,2.49,,fresh_food,fruits,Aldi,2025,2,4,10.97,0.0,1.0,0.0
Nature's Pick Plums 1kg,1.99,,fresh_food,fruits,Aldi,2025,2,4,1.99,0.0,1.0,0.0
Nature's Pick Tangerines 600g,1.09,,fresh_food,fruits,Aldi,2025,2,4,1.82,0.0,1.0,0.0
The Foodie Market Dried Prunes 500g,2.59,,fresh_food,fruits,Aldi,2025,2,4,5.18,0.0,1.0,0.0
Nature's Pick Golden Delicious Apples 6 Pack,1.49,,fresh_food,fruits,Aldi,2025,2,4,0.25,1.0,0.0,0.0
Nature's Pick Nectarines 4 Pack,1.89,,fresh_food,fruits,Aldi,2025,2,4,0.47,1.0,0.0,0.0
Nature's Pick Plums 400g,1.19,,fresh_food,fruits,Aldi,2025,2,4,2.98,0.0,1.0,0.0
Nature's Pick Ripe Nectarines 4 Pack,1.89,,fresh_food,fruits,Aldi,2025,2,4,0.47,1.0,0.0,0.0
Nature's Pick Unwaxed Lemons Min 4 Pack,0.99,,fresh_food,fruits,Aldi,2025,2,4,0.25,1.0,0.0,0.0
Nature's Pick Limes 5 Pack,0.89,,fresh_food,fruits,Aldi,2025,2,4,0.18,1.0,0.0,0.0
Nature's Pick Blueberries 400g,3.39,,fresh_food,fruits,Aldi,2025,2,4,8.48,0.0,1.0,0.0
Pinkids Pink Lady Kids Apples 6 Pack,1.99,,fresh_food,fruits,Aldi,2025,2,4,0.33,1.0,0.0,0.0
Everyday Essentials Grapes 500g,1.69,,fresh_food,fruits,Aldi,2025,2,4,3.38,0.0,1.0,0.0
Nature's Pick Loose Bramley Apples Each,0.59,,fresh_food,fruits,Aldi,2025,2,4,0.59,1.0,0.0,0.0
The Foodie Market Raspberry Dinos 20g,0.33,,fresh_food,fruits,Aldi,2025,2,4,16.5,0.0,1.0,0.0
The Foodie Market Strawberry Dinos 20g,0.33,,fresh_food,fruits,Aldi,2025,2,4,16.5,0.0,1.0,0.0
The Foodie Market Strawberry Dinos 5x20g,1.69,,fresh_food,fruits,Aldi,2025,2,4,16.9,0.0,1.0,0.0
The Foodie Market Raspberry Dinos 5x20g,1.69,,fresh_food,fruits,Aldi,2025,2,4,16.9,0.0,1.0,0.0
Nature's Pick Blueberries 150g,1.19,,fresh_food,fruits,Aldi,2025,2,4,7.93,0.0,1.0,0.0
Nature's Pick Pomegranate Seeds 80g,0.89,,fresh_food,fruits,Aldi,2025,2,4,11.13,0.0,1.0,0.0
Specially Selected Blueberries 250g,2.89,,fresh_food,fruits,Aldi,2025,2,4,11.56,0.0,1.0,0.0
The Foodie Market Banana Chips 230g,1.39,,fresh_food,fruits,Aldi,2025,2,4,6.04,0.0,1.0,0.0
Nature's Pick Grapefruit Each,0.49,,fresh_food,fruits,Aldi,2025,2,4,0.49,1.0,0.0,0.0
Nature's Pick XL Ripe And Ready Avocado Each,1.39,,fresh_food,fruits,Aldi,2025,2,4,1.39,1.0,0.0,0.0
Nature's Pick Large Ripe And Ready Avocado Each,0.95,,fresh_food,fruits,Aldi,2025,2,4,0.95,1.0,0.0,0.0
