Name,Price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre,Discount price
Kissabel Apples Tray,2.55,fresh_food,fruit,Waitrose,2024,11,19,0.638,1.0,0.0,0.0,
Natures Candy USA Medjool Dates,5.0,fresh_food,fruit,Waitrose,2024,11,19,11.02,0.0,1.0,0.0,
Essential Fairtrade Bananas,0.2,fresh_food,fruit,Waitrose,2024,11,19,1.1,0.0,1.0,0.0,
Essential Fairtrade Bananas,0.95,fresh_food,fruit,Waitrose,2024,11,19,0.19,1.0,0.0,0.0,
Waitrose Seedless Easy Peelers,2.5,fresh_food,fruit,Waitrose,2024,11,19,4.17,0.0,1.0,0.0,
Perfectly Ripe Avocados,1.42,fresh_food,fruit,Waitrose,2024,11,19,0.71,1.0,0.0,0.0,
Essential Lemons,0.35,fresh_food,fruit,Waitrose,2024,11,19,0.35,1.0,0.0,0.0,
Waitrose Red Seedless Grapes,2.4,fresh_food,fruit,Waitrose,2024,11,19,4.8,0.0,1.0,0.0,
Waitrose Green Seedless Grapes,2.4,fresh_food,fruit,Waitrose,2024,11,19,4.8,0.0,1.0,0.0,
Waitrose Small Fairtrade Bananas,1.25,fresh_food,fruit,Waitrose,2024,11,19,0.179,1.0,0.0,0.0,
Waitrose Perfectly Ripe Avocado,0.96,fresh_food,fruit,Waitrose,2024,11,19,0.96,1.0,0.0,0.0,
Waitrose Blueberries,3.5,fresh_food,fruit,Waitrose,2024,11,19,15.56,0.0,1.0,0.0,
Waitrose Blueberries,4.6,fresh_food,fruit,Waitrose,2024,11,19,12.78,0.0,1.0,0.0,
Cooks' Ingredients Unwaxed Lemons,1.7,fresh_food,fruit,Waitrose,2024,11,19,0.425,1.0,0.0,0.0,
Waitrose Pink Lady Apples,2.75,fresh_food,fruit,Waitrose,2024,11,19,0.688,1.0,0.0,0.0,
Essential Easy Peelers,1.5,fresh_food,fruit,Waitrose,2024,11,19,2.5,0.0,1.0,0.0,
Duchy Organic Blueberries,2.5,fresh_food,fruit,Waitrose,2024,11,19,20.0,0.0,1.0,0.0,
Waitrose Seedless Grape Selection,2.6,fresh_food,fruit,Waitrose,2024,11,19,6.5,0.0,1.0,0.0,
Waitrose Strawberries,2.7,fresh_food,fruit,Waitrose,2024,11,19,11.74,0.0,1.0,0.0,
Essential Blueberries,2.0,fresh_food,fruit,Waitrose,2024,11,19,13.34,0.0,1.0,0.0,
Waitrose Raspberries,2.6,fresh_food,fruit,Waitrose,2024,11,19,17.34,0.0,1.0,0.0,
Duchy Organic Fairtrade Bananas,1.95,fresh_food,fruit,Waitrose,2024,11,19,0.325,1.0,0.0,0.0,
Essential British Bramley Cooking Apples,0.59,fresh_food,fruit,Waitrose,2024,11,19,2.5,0.0,1.0,0.0,
Essential Limes,0.3,fresh_food,fruit,Waitrose,2024,11,19,0.3,1.0,0.0,0.0,
Waitrose Raspberries,3.7,fresh_food,fruit,Waitrose,2024,11,19,16.45,0.0,1.0,0.0,
Waitrose Red Grapefruit,0.6,fresh_food,fruit,Waitrose,2024,11,19,0.6,1.0,0.0,0.0,
Waitrose Conference Pears Loose,0.5,fresh_food,fruit,Waitrose,2024,11,19,2.5,0.0,1.0,0.0,
Waitrose Blueberries,2.5,fresh_food,fruit,Waitrose,2024,11,19,16.67,0.0,1.0,0.0,
Essential Raspberries,2.0,fresh_food,fruit,Waitrose,2024,11,19,13.34,0.0,1.0,0.0,
Waitrose Perfectly Ripe Conference Pear,2.75,fresh_food,fruit,Waitrose,2024,11,19,0.688,1.0,0.0,0.0,
Waitrose Royal Gala Apples,1.8,fresh_food,fruit,Waitrose,2024,11,19,0.3,1.0,0.0,0.0,
Waitrose Pink Lady Apples,3.0,fresh_food,fruit,Waitrose,2024,11,19,0.5,1.0,0.0,0.0,
Essential Lemons,1.5,fresh_food,fruit,Waitrose,2024,11,19,0.25,1.0,0.0,0.0,
Waitrose Conference Pears,2.4,fresh_food,fruit,Waitrose,2024,11,19,0.6,1.0,0.0,0.0,
Waitrose Black Seedless Grapes,2.8,fresh_food,fruit,Waitrose,2024,11,19,7.0,0.0,1.0,0.0,
Waitrose Easy Peelers Box,2.77,fresh_food,fruit,Waitrose,2024,11,19,2.77,0.0,1.0,0.0,
Essential Limes,1.5,fresh_food,fruit,Waitrose,2024,11,19,0.25,1.0,0.0,0.0,
Waitrose Braeburn Apples min 5,1.8,fresh_food,fruit,Waitrose,2024,11,19,0.36,1.0,0.0,0.0,
Waitrose Large Orange,0.65,fresh_food,fruit,Waitrose,2024,11,19,0.65,1.0,0.0,0.0,
Waitrose Royal Gala Apples Loose,0.34,fresh_food,fruit,Waitrose,2024,11,19,2.2,0.0,1.0,0.0,
Waitrose Large Oranges,2.8,fresh_food,fruit,Waitrose,2024,11,19,0.467,1.0,0.0,0.0,
Waitrose Cantaloupe Melon,2.9,fresh_food,fruit,Waitrose,2024,11,19,2.9,1.0,0.0,0.0,
Perfectly Ripe & Home Ripen Avocados,1.9,fresh_food,fruit,Waitrose,2024,11,19,0.95,1.0,0.0,0.0,
Essential Oranges,1.5,fresh_food,fruit,Waitrose,2024,11,19,0.3,1.0,0.0,0.0,
Waitrose Jazz Apples,2.45,fresh_food,fruit,Waitrose,2024,11,19,0.613,1.0,0.0,0.0,
Essential Mini Apples,1.2,fresh_food,fruit,Waitrose,2024,11,19,0.2,1.0,0.0,0.0,
Essential Mini Easy Peelers,1.5,fresh_food,fruit,Waitrose,2024,11,19,2.5,0.0,1.0,0.0,
Waitrose Perfectly Ripe Kiwi,2.6,fresh_food,fruit,Waitrose,2024,11,19,0.65,1.0,0.0,0.0,
Essential Conference Pears,1.95,fresh_food,fruit,Waitrose,2024,11,19,0.488,1.0,0.0,0.0,
Duchy Organic Gala Apples,2.25,fresh_food,fruit,Waitrose,2024,11,19,0.563,1.0,0.0,0.0,
Waitrose Jazz Apples,1.95,fresh_food,fruit,Waitrose,2024,11,19,0.39,1.0,0.0,0.0,
Waitrose Blackberries,3.0,fresh_food,fruit,Waitrose,2024,11,19,20.0,0.0,1.0,0.0,
