Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
ASDA Sweet & Plump Raspberries,2.0,,fresh_food,fruits,Asda,2024,11,19,13.33,0.0,1.0,0.0
ASDA Sweet & Juicy Rainbow Fruit Platter,3.5,,fresh_food,fruits,Asda,2024,11,19,8.33,0.0,1.0,0.0
ASDA 6 Sweet & Creamy Bananas,0.94,,fresh_food,fruits,Asda,2024,11,19,0.157,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Pears (Colour and Variety may vary),0.99,,fresh_food,fruits,Asda,2024,11,19,1.98,0.0,1.0,0.0
JUST ESSENTIALS by ASDA Raspberries,1.79,,fresh_food,fruits,Asda,2024,11,19,11.93,0.0,1.0,0.0
ASDA Tangy & Tropical Pineapple (Ripe & Ready To Eat),0.99,,fresh_food,fruits,Asda,2024,11,19,0.99,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Kiwis,1.19,,fresh_food,fruits,Asda,2024,11,19,0.198,1.0,0.0,0.0
ASDA Sweet & Crunchy Pomegranate Seeds,1.09,,fresh_food,fruits,Asda,2024,11,19,13.62,0.0,1.0,0.0
JUST ESSENTIALS by ASDA Lemons,0.69,,fresh_food,fruits,Asda,2024,11,19,0.172,1.0,0.0,0.0
ASDA Garden Gang Amazing Apples (Colour may vary),1.09,,fresh_food,fruits,Asda,2024,11,19,0.182,1.0,0.0,0.0
ASDA Tangy & Juicy Sweetclems,0.99,,fresh_food,fruits,Asda,2024,11,19,1.65,0.0,1.0,0.0
ASDA Garden Gang Super Easy Peelers,0.89,,fresh_food,fruits,Asda,2024,11,19,1.78,0.0,1.0,0.0
ASDA Crisp & Juicy Watermelon Slices,0.5,,fresh_food,fruits,Asda,2024,11,19,5.26,0.0,1.0,0.0
ASDA Tart & Sweet Plums,1.29,,fresh_food,fruits,Asda,2024,11,19,3.23,0.0,1.0,0.0
ASDA Soft & Sweet Kiwi Fruit,1.39,,fresh_food,fruits,Asda,2024,11,19,0.348,1.0,0.0,0.0
ASDA Zingy & Crisp Braeburn Apples,0.99,,fresh_food,fruits,Asda,2024,11,19,0.165,1.0,0.0,0.0
JUST ESSENTIALS by ASDA 4 Avocados,1.29,,fresh_food,fruits,Asda,2024,11,19,0.322,1.0,0.0,0.0
ASDA Sweet & Bursting Blueberries 300g,3.0,,fresh_food,fruits,Asda,2024,11,19,10.0,0.0,1.0,0.0
ASDA Tart & Juicy Granny Smith Apples,1.59,,fresh_food,fruits,Asda,2024,11,19,0.265,1.0,0.0,0.0
ASDA Juicy & Sweet Pineapple Fingers,1.5,,fresh_food,fruits,Asda,2024,11,19,7.5,0.0,1.0,0.0
Pink Lady Apples,2.7,,fresh_food,fruits,Asda,2024,11,19,0.45,1.0,0.0,0.0
ASDA Ready to Eat Tropical & Sweet Large Mango (Typically 350g),0.95,,fresh_food,fruits,Asda,2024,11,19,0.95,1.0,0.0,0.0
ASDA Sweet & Refreshing Honeydew Melon,1.89,,fresh_food,fruits,Asda,2024,11,19,1.89,1.0,0.0,0.0
ASDA Juicy & Sweet Mango Fingers,1.55,,fresh_food,fruits,Asda,2024,11,19,11.07,0.0,1.0,0.0
ASDA Delicate & Smooth Papaya (Typically 350g),1.89,,fresh_food,fruits,Asda,2024,11,19,1.89,1.0,0.0,0.0
ASDA Sweet & Juicy Royal Gala Apples,1.59,,fresh_food,fruits,Asda,2024,11,19,0.265,1.0,0.0,0.0
ASDA Creamy & Nutty Avocados,1.6,,fresh_food,fruits,Asda,2024,11,19,0.8,1.0,0.0,0.0
ASDA Sweet & Juicy Medium Oranges,0.99,,fresh_food,fruits,Asda,2024,11,19,0.198,1.0,0.0,0.0
ASDA Sweet & Delicate Conference Pears,1.99,,fresh_food,fruits,Asda,2024,11,19,0.498,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Apples (Colour and Variety may vary),1.09,,fresh_food,fruits,Asda,2024,11,19,2.18,0.0,1.0,0.0
ASDA Succulent & Juicy Mixed Berries 200g,2.75,,fresh_food,fruits,Asda,2024,11,19,13.75,0.0,1.0,0.0
ASDA Loose Lemon,0.3,,fresh_food,fruits,Asda,2024,11,19,0.3,1.0,0.0,0.0
ASDA Ripe & Sweet Strawberries,2.29,,fresh_food,fruits,Asda,2024,11,19,10.09,0.0,1.0,0.0
ASDA Banana Chips 75g,0.9,,fresh_food,fruits,Asda,2024,11,19,12.0,0.0,1.0,0.0
ASDA Tangy & Fragrant Tangerines 600g,1.29,,fresh_food,fruits,Asda,2024,11,19,2.15,0.0,1.0,0.0
ASDA Sweet & Juicy Melon Slices,2.0,,fresh_food,fruits,Asda,2024,11,19,5.0,0.0,1.0,0.0
ASDA Organic Blueberries,2.0,,fresh_food,fruits,Asda,2024,11,19,16.0,0.0,1.0,0.0
JUST ESSENTIALS by ASDA Plums,1.19,,fresh_food,fruits,Asda,2024,11,19,2.98,0.0,1.0,0.0
ASDA Loose Red Grapefruit,0.55,,fresh_food,fruits,Asda,2024,11,19,0.55,1.0,0.0,0.0
ASDA Tangy & Zesty Lemons,0.79,,fresh_food,fruits,Asda,2024,11,19,0.198,1.0,0.0,0.0
ASDA Garden Gang 7 Brilliant Bananas,0.88,,fresh_food,fruits,Asda,2024,11,19,0.126,1.0,0.0,0.0
ASDA Extra Special 4 Hand Picked Golden Kiwi,2.4,,fresh_food,fruits,Asda,2024,11,19,0.6,1.0,0.0,0.0
ASDA Apricots 200g,1.5,,fresh_food,fruits,Asda,2024,11,19,7.5,0.0,1.0,0.0
ASDA Pomegranate,1.0,,fresh_food,fruits,Asda,2024,11,19,1.0,1.0,0.0,0.0
ASDA Sweet & Delicate Pears (Colour and Variety may vary),2.29,,fresh_food,fruits,Asda,2024,11,19,1.91,0.0,1.0,0.0
ASDA Sweet & Juicy Blackberries,2.0,,fresh_food,fruits,Asda,2024,11,19,13.33,0.0,1.0,0.0
Love Me Tender Dragon Fruit,3.0,,fresh_food,fruits,Asda,2024,11,19,3.0,1.0,0.0,0.0
Pink Lady Apples,2.2,,fresh_food,fruits,Asda,2024,11,19,0.55,1.0,0.0,0.0
ASDA Crisp & Juicy Watermelon Fans,1.5,,fresh_food,fruits,Asda,2024,11,19,5.0,0.0,1.0,0.0
