Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
ASDA Sweet & Plump Raspberries,1.48,,fresh_food,fruits,Asda,2025,5,12,9.87,0.0,1.0,0.0
JUST ESSENTIALS by ASDA Farm Stores Strawberries 227g,1.79,,fresh_food,fruits,Asda,2025,5,12,7.89,0.0,1.0,0.0
JUST ESSENTIALS by ASDA Pears 550g,0.99,,fresh_food,fruits,Asda,2025,5,12,1.7999999999999998,0.0,1.0,0.0
ASDA Sweet & Bursting Blueberries 300g,2.96,,fresh_food,fruits,Asda,2025,5,12,9.87,0.0,1.0,0.0
ASDA Tangy & Tropical Pineapple (Ripe & Ready To Eat),0.98,,fresh_food,fruits,Asda,2025,5,12,0.98,1.0,0.0,0.0
ASDA Garden Gang 7 Brilliant Bananas (Colour may vary),0.88,,fresh_food,fruits,Asda,2025,5,12,0.126,1.0,0.0,0.0
ASDA Grower's Selection Strawberries,3.28,,fresh_food,fruits,Asda,2025,5,12,5.47,0.0,1.0,0.0
ASDA Tangy & Zesty Lemons,1.12,,fresh_food,fruits,Asda,2025,5,12,0.28,1.0,0.0,0.0
ASDA Sweet & Juicy Blackberries,2.14,,fresh_food,fruits,Asda,2025,5,12,14.27,0.0,1.0,0.0
ASDA Ripe & Sweet Strawberries 400g,2.48,,fresh_food,fruits,Asda,2025,5,12,6.2,0.0,1.0,0.0
ASDA Garden Gang Amazing Apples (Colour may vary),0.78,,fresh_food,fruits,Asda,2025,5,12,0.13,1.0,0.0,0.0
ASDA Garden Gang Super Easy Peelers,0.96,,fresh_food,fruits,Asda,2025,5,12,1.92,0.0,1.0,0.0
ASDA Sweet & Refreshing Honeydew Melon,1.89,,fresh_food,fruits,Asda,2025,5,12,1.89,1.0,0.0,0.0
JUST ESSENTIALS by ASDA 4 Avocados,1.29,,fresh_food,fruits,Asda,2025,5,12,0.322,1.0,0.0,0.0
JUST ESSENTIALS by ASDA Kiwis,1.19,,fresh_food,fruits,Asda,2025,5,12,0.198,1.0,0.0,0.0
ASDA Smooth & Sweet Peaches,1.98,,fresh_food,fruits,Asda,2025,5,12,0.495,1.0,0.0,0.0
ASDA 6 Sweet & Creamy Bananas,0.94,,fresh_food,fruits,Asda,2025,5,12,0.157,1.0,0.0,0.0
ASDA Loose Red Grapefruit,0.52,,fresh_food,fruits,Asda,2025,5,12,0.52,1.0,0.0,0.0
Pink Lady Apples,2.78,,fresh_food,fruits,Asda,2025,5,12,0.46299999999999997,1.0,0.0,0.0
ASDA Tart & Sweet Plums,1.38,,fresh_food,fruits,Asda,2025,5,12,3.45,0.0,1.0,0.0
ASDA Ripe & Sweet Strawberries,1.95,,fresh_food,fruits,Asda,2025,5,12,8.59,0.0,1.0,0.0
ASDA 4 Juicy & Sweet Nectarines,1.98,,fresh_food,fruits,Asda,2025,5,12,0.495,1.0,0.0,0.0
ASDA Sweet & Juicy Royal Gala Apples,1.58,,fresh_food,fruits,Asda,2025,5,12,0.263,1.0,0.0,0.0
ASDA Sweet & Crunchy Pomegranate Seeds,1.12,,fresh_food,fruits,Asda,2025,5,12,14.0,0.0,1.0,0.0
ASDA Sweet & Juicy Medium Oranges,1.42,,fresh_food,fruits,Asda,2025,5,12,0.284,1.0,0.0,0.0
