Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
ASDA Sweet & Plump Raspberries,1.89,,fresh_food,fruits,Asda,2025,4,3,12.6,0,1,0
ASDA 6 Sweet & Creamy Bananas (Colour may vary),0.94,,fresh_food,fruits,Asda,2025,4,3,0.157,1,0,0
ASDA Ready to Eat Tropical & Sweet Large Mango (Typically 350g),0.94,,fresh_food,fruits,Asda,2025,4,3,0.94,1,0,0
JUST ESSENTIALS by ASDA 4 Avocados,1.29,,fresh_food,fruits,Asda,2025,4,3,0.322,1,0,0
ASDA Ripe & Sweet Strawberries,3.48,,fresh_food,fruits,Asda,2025,4,3,5.8,0,1,0
JUST ESSENTIALS by ASDA Farm Stores Strawberries 227g,1.79,,fresh_food,fruits,Asda,2025,4,3,7.89,0,1,0
ASDA Garden Gang Super Easy Peelers,0.83,,fresh_food,fruits,Asda,2025,4,3,1.66,0,1,0
ASDA Tangy & Tropical Pineapple (Ripe & Ready To Eat),0.77,,fresh_food,fruits,Asda,2025,4,3,0.77,1,0,0
ASDA Sweet & Bursting Blueberries 300g,2.68,,fresh_food,fruits,Asda,2025,4,3,8.93,0,1,0
ASDA Ripe & Sweet Strawberries 400g,2.48,,fresh_food,fruits,Asda,2025,4,3,6.2,0,1,0
ASDA Crisp & Juicy Watermelon Slices,0.5,,fresh_food,fruits,Asda,2025,4,3,5.26,0,1,0
ASDA Sweet & Delicate Conference Pears,1.87,,fresh_food,fruits,Asda,2025,4,3,0.468,1,0,0
ASDA Sweet & Juicy Royal Gala Apples,0.98,,fresh_food,fruits,Asda,2025,4,3,0.163,1,0,0
ASDA Tart & Juicy Granny Smith Apples,1.49,,fresh_food,fruits,Asda,2025,4,3,0.248,1,0,0
ASDA Sweet & Juicy Medium Oranges,1.29,,fresh_food,fruits,Asda,2025,4,3,0.258,1,0,0
ASDA Juicy & Sweet Pineapple Fingers,1.52,,fresh_food,fruits,Asda,2025,4,3,7.6,0,1,0
ASDA Extra Special Sable Seedless Grapes 400g,1.98,,fresh_food,fruits,Asda,2025,4,3,4.95,0,1,0
ASDA Garden Gang Amazing Apples (Colour may vary),1.08,,fresh_food,fruits,Asda,2025,4,3,0.18,1,0,0
JUST ESSENTIALS by ASDA Plums,1.29,,fresh_food,fruits,Asda,2025,4,3,3.23,0,1,0
ASDA Loose Red Grapefruit,0.52,,fresh_food,fruits,Asda,2025,4,3,0.52,1,0,0
ASDA 4 Juicy & Sweet Nectarines,1.98,,fresh_food,fruits,Asda,2025,4,3,0.495,1,0,0
ASDA Soft & Sweet Kiwi Fruit,1.33,,fresh_food,fruits,Asda,2025,4,3,0.332,1,0,0
ASDA Succulent & Juicy Mixed Berries 200g,2.74,,fresh_food,fruits,Asda,2025,4,3,13.7,0,1,0
JUST ESSENTIALS by ASDA Kiwis,1.19,,fresh_food,fruits,Asda,2025,4,3,0.198,1,0,0
Pink Lady Apples,2.78,,fresh_food,fruits,Asda,2025,4,3,0.463,1,0,0
ASDA Sweet & Refreshing Honeydew Melon,1.89,,fresh_food,fruits,Asda,2025,4,3,1.89,1,0,0
ASDA Delicate & Smooth Papaya (Typically 350g),1.87,,fresh_food,fruits,Asda,2025,4,3,1.87,1,0,0
ASDA Sweet & Crunchy Pomegranate Seeds,1.12,,fresh_food,fruits,Asda,2025,4,3,14,0,1,0
ASDA Ripe & Sweet Strawberries,1.95,,fresh_food,fruits,Asda,2025,4,3,8.59,0,1,0
ASDA Creamy & Nutty Avocados,1.49,,fresh_food,fruits,Asda,2025,4,3,0.745,1,0,0
ASDA Tangy & Zesty Lemons,1.04,,fresh_food,fruits,Asda,2025,4,3,0.26,1,0,0
ASDA Sweet & Juicy Melon Slices,2.03,,fresh_food,fruits,Asda,2025,4,3,5.08,0,1,0
ASDA Loose Lemon,0.28,,fresh_food,fruits,Asda,2025,4,3,0.28,1,0,0
ASDA Garden Gang 7 Brilliant Bananas (Colour may vary)),0.88,,fresh_food,fruits,Asda,2025,4,3,0.126,1,0,0
ASDA Sweet & Juicy Blackberries,2.14,,fresh_food,fruits,Asda,2025,4,3,14.27,0,1,0
ASDA Sweet & Delicate Pears (Colour and Variety may vary),2.54,,fresh_food,fruits,Asda,2025,4,3,2.12,0,1,0
ASDA Crisp & Juicy Watermelon Fans,1.56,,fresh_food,fruits,Asda,2025,4,3,5.2,0,1,0
ASDA Tart & Sweet Plums,1.38,,fresh_food,fruits,Asda,2025,4,3,3.45,0,1,0
ASDA Tangy & Juicy Sweetclems,1.19,,fresh_food,fruits,Asda,2025,4,3,1.98,0,1,0
Love Me Tender Dragon Fruit,2.98,,fresh_food,fruits,Asda,2025,4,3,2.98,1,0,0
ASDA Soft & Sweet Golden Delicious Apples,1.49,,fresh_food,fruits,Asda,2025,4,3,0.248,1,0,0
ASDA Banana Chips 75g,0.92,,fresh_food,fruits,Asda,2025,4,3,12.3,0,1,0
ASDA 3 Smooth & Sweet Peaches,2.48,,fresh_food,fruits,Asda,2025,4,3,0.827,1,0,0
ASDA Dates 200g,1.58,,fresh_food,fruits,Asda,2025,4,3,7.9,0,1,0
ASDA Giant Pineapple (Ripe & Ready To Eat),1.88,,fresh_food,fruits,Asda,2025,4,3,1.88,1,0,0
ASDA Pineapple Lolly,0.5,,fresh_food,fruits,Asda,2025,4,3,6.25,0,1,0
ASDA Tropical & Sweet Mangoes (Each Mango Typically 300g),1.77,,fresh_food,fruits,Asda,2025,4,3,0.885,1,0,0
ASDA Sharp & Sweet Passion Fruit,0.98,,fresh_food,fruits,Asda,2025,4,3,0.327,1,0,0
ASDA Juicy & Refreshing Melon Fingers 450g,3.32,,fresh_food,fruits,Asda,2025,4,3,7.38,0,1,0
JUST ESSENTIALS by ASDA Apples (Colour and Variety may vary),1.19,,fresh_food,fruits,Asda,2025,4,3,2.38,0,1,0
ASDA Sweet & Crunchy Pomegranate Seeds,2.04,,fresh_food,fruits,Asda,2025,4,3,10.2,0,1,0
ASDA Extra Special ClemenGold Easy Peelers,1.79,,fresh_food,fruits,Asda,2025,4,3,2.98,0,1,0
ASDA Large Avocado,0.94,,fresh_food,fruits,Asda,2025,4,3,0.94,1,0,0
ASDA Zingy & Crisp Braeburn Apples,1.49,,fresh_food,fruits,Asda,2025,4,3,0.248,1,0,0
Pink Lady Apples,2.18,,fresh_food,fruits,Asda,2025,4,3,0.545,1,0,0
ASDA 3 Juicy & Sweet Nectarines,1.98,,fresh_food,fruits,Asda,2025,4,3,0.66,1,0,0
