"Subcategory"
"frozen_meat_poultry"
"meat_poultry"
"fresh_food_vegan"
"treats_snacks"
"chips_related"
"fruits"
"treats"
"cooked_meat_antipasti_dips"
"milk"
"cheese"
"coffee"
"cereals"
"vegetables"
"carbs"
"fruit"
"soft_drink"
"alc_free"
"frozen_fruit"
"frozen_desserts"
"water"
"spread_jam"
"sauce"
"frozen_fruit_pastries"
"seafood"
"canned"
"chilled_meats"
"pizza_pasta_gbread"
"party_food_salads_dips"
"milk_butter_eggs"
"frozen_desserts_icecream"
"fresh_food_vegetarian"
"icecreams"
"frozen_pizza"
"frozen_vegetarian"
"yogurts"
"chilled_desserts"
"wine"
"frozen_vegan"
"bakery"
"frozen_seafood"
"frozen_vegetables"
"frozen_vegtables"
"dairy_free"
"snacks"
"spirit"
"tea"
"seed_nuts"
"beer_cider"
"squash"
