Name,Price,Price per Unit,Clubcard Discount,Category,Date
Tesco Finest Clementine Or Sweet Easy Peeler 600G,null,null,null,fruits,2024-11-05
Jaffa Clementine Or Sweet Easy Peeler 600G,£2.00,£3.33/kg,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Large Conference Pears Loose Class 1,£0.49,£2.60/kg,null,fruits,2024-11-05
Tesco Pink Lady Apple Minimum 5 Pack,£2.80,£0.56/each,null,fruits,2024-11-05
Rosedene Farms Gala Apples 6 Pack,£1.49,£0.25/each,null,fruits,2024-11-05
Tesco Granny Smith Apple Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Tesco Organic Fair Trade Bananas 5 Pack,£1.50,£0.30/each,£1.35 Clubcard Price,fruits,2024-11-05
Tesco Braeburn Apple 5 Pack,£1.70,£0.34/each,£1.40 Clubcard Price,fruits,2024-11-05
Tesco Gala Apple Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Tesco Conference Pears Pack 610G,£1.70,£2.79/kg,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Tesco Orange Minimum 5 Pack,null,null,null,fruits,2024-11-05
Tesco Blueberries 150G,£1.80,£12.00/kg,null,fruits,2024-11-05
Tesco Lemons 4 Pack,£1.20,£0.30/each,null,fruits,2024-11-05
Tesco Strawberries 227G,£2.30,£10.13/kg,null,fruits,2024-11-05
Tesco Blueberries 250G,£2.65,£10.60/kg,null,fruits,2024-11-05
Rosedene Farms Small Apple 6 Pack,£1.09,£0.18/each,null,fruits,2024-11-05
Suntrail Farms Price Lemons Minimum 4 Pack,£0.69,£0.17/each,null,fruits,2024-11-05
Jaffa Orange Pack,£2.00,£0.50/each,£1.60 Clubcard Price,fruits,2024-11-05
Tesco Red Grapefruit Each,£0.55,£0.55/each,null,fruits,2024-11-05
Tesco Raspberries 150G,£1.90,£12.67/kg,null,fruits,2024-11-05
Tesco Honeydew Melon,£1.89,£1.89/each,null,fruits,2024-11-05
Tesco Clementine Or Sweet Easy Peeler Pack 600G,£1.19,£1.98/kg,null,fruits,2024-11-05
Tesco Green Seedless Grapes Pack 500G,null,null,null,fruits,2024-11-05
Suntrail Farms Grapes 500G,£1.59,£3.18/kg,null,fruits,2024-11-05
Tesco Satsumas 600G,£1.35,£2.25/kg,null,fruits,2024-11-05
Tesco Lemons Each,£0.30,£0.30/each,null,fruits,2024-11-05
Tesco Small Bananas 6 Pack,£0.75,£0.12/each,null,fruits,2024-11-05
Tesco Bananas Loose,£0.16,£0.90/kg,null,fruits,2024-11-05
Tesco Oranges Each,£0.30,£0.30/each,null,fruits,2024-11-05
Tesco Limes Each,£0.24,£0.24/each,null,fruits,2024-11-05
Tesco Ripe Bananas 5 Pack,£0.78,£0.16/each,null,fruits,2024-11-05
Tesco Perfectly Ripe Mango,£0.95,£0.95/each,null,fruits,2024-11-05
Tesco Walnut Pieces 250G,£3.60,£14.40/kg,null,fruits,2024-11-05
Tesco Walnuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Mixed Nuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Large Pink Lady Apples Loose Class 1,null,null,null,fruits,2024-11-05
Tesco Jazz Apple 6 Pack,£2.35,£0.39/each,null,fruits,2024-11-05
Tesco Apple Snack Pack 80G,£0.60,£7.50/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Better Snacking,fruits,2024-11-05
Tesco Mini Watermelon,£2.30,£2.30/each,null,fruits,2024-11-05
Tesco Organic Unwaxed Lemons Minimum 3 Pack,£1.90,£0.63/each,null,fruits,2024-11-05
Tesco Bramley Cooking Apples Loose,£0.55,£2.20/kg,null,fruits,2024-11-05
Jaffa Jumbo Orange Minimum 4 Pack,£2.10,£0.52/each,null,fruits,2024-11-05
Tesco Pomegranate Seeds 80G,£1.35,£16.88/kg,null,fruits,2024-11-05
Tesco Golden Delicious Apple Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Finest Strawberries 227G,£3.00,£13.22/kg,null,fruits,2024-11-05
Tesco Perfectly Ripe Conference Minimum 4 Pack Pear,£2.30,£0.58/each,null,fruits,2024-11-05
Tesco Cantaloupe Melon Each,null,null,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Tesco Galia Melon Each,£2.00,£2.00/each,null,fruits,2024-11-05
Tesco Watermelon,£3.50,£3.50/each,£3.00 Clubcard Price,fruits,2024-11-05
Jaffa Candy Floss Grapes 500G,null,null,null,fruits,2024-11-05
Tesco Blackberries 150G,£2.00,£13.33/kg,null,fruits,2024-11-05
Suntrail Farms Price Orange Minimum 5 Pack,null,null,null,fruits,2024-11-05
Tesco Limes Minimum 5 Pack,£1.19,£0.24/each,null,fruits,2024-11-05
Tesco Ready To Eat Seasonal Pears 4Pack 550G,£1.99,£3.62/kg,null,fruits,2024-11-05
Suntrail Farms Ripen At Home Plum 400G,£1.19,£2.98/kg,99p Clubcard Price,fruits,2024-11-05
Tesco Blueberries 500G,£4.50,£9.00/kg,null,fruits,2024-11-05
Rosedene Farms Small Pear Pack 550G,£0.99,£1.80/kg,null,fruits,2024-11-05
Suntrail Farms Soft Citrus Pack 600G,£0.99,£1.65/kg,null,fruits,2024-11-05
Tesco British Apples Minimum 5 Pack,£1.70,£0.34/each,null,fruits,2024-11-05
Tesco Persimmons Minimum 2 Pack,£1.50,£0.75/each,Save 1/3 £1.00 Clubcard Price,fruits,2024-11-05
Tesco Passion Fruit 3 Pack,£1.30,£0.43/each,null,fruits,2024-11-05
Tesco Pineapple,£0.99,£0.99/each,null,fruits,2024-11-05
Tesco Perfectly Ripe Kiwi,£1.40,£0.35/each,null,fruits,2024-11-05
Tesco Nectarines Minimum 4 Pack,null,null,null,fruits,2024-11-05
Tesco Cherries Punnet 200G,£3.40,£17.00/kg,null,fruits,2024-11-05
Tesco Pomegranates Each,£1.50,£1.50/each,Save 1/3 £1.00 Clubcard Price,fruits,2024-11-05
Rosedene Farms Blackberries 150G,£1.59,£10.60/kg,null,fruits,2024-11-05
Tesco Flaked Almonds 250G,£3.90,£15.60/kg,null,fruits,2024-11-05
Tesco Walnuts 225G,£3.00,£13.33/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Wholefoods Pine Nuts 100G,£3.75,£37.50/kg,null,fruits,2024-11-05
Tesco Walnuts In Shell 350G,£3.00,£8.57/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Almonds 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Brazil Nuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Watermelon Wedges 550G,£3.00,£5.46/kg,null,fruits,2024-11-05
Tesco Cashew Nuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Melon Medley 300G,£2.40,£8.00/kg,null,fruits,2024-11-05
Large Braeburn Apples Loose Class 1,£0.52,£2.60/kg,null,fruits,2024-11-05
Tesco Dried Mango 100G,£2.15,£21.50/kg,null,fruits,2024-11-05
Tesco Soft Pitted Dates 250G,£2.00,£8.00/kg,null,fruits,2024-11-05
Tesco Watermelon Chunks 300G,£2.40,£8.00/kg,null,fruits,2024-11-05
Tesco Pineapple Chunks 300G,£2.40,£8.00/kg,null,fruits,2024-11-05
Tesco Cashews 300G,null,null,null,fruits,2024-11-05
Large Gala Apples Loose Class 1,£0.42,£2.60/kg,null,fruits,2024-11-05
Tesco Organic Blueberries 150G,£2.60,£17.33/kg,null,fruits,2024-11-05
Tesco Sunflower Seeds 150G,£1.20,£8.00/kg,null,fruits,2024-11-05
Tesco Mixed Nuts In Shell 350G,£3.00,£8.57/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Pineapple Chunks 145G,£1.35,£9.31/kg,null,fruits,2024-11-05
Tesco Pomegranate 250G,£2.60,£10.40/kg,null,fruits,2024-11-05
Jaffa Seedless Lemons Minimum 4Pack,null,null,null,fruits,2024-11-05
Tesco Prunes 250G,£2.00,£8.00/kg,null,fruits,2024-11-05
Tesco Roasted Monkey Nuts 250G,£1.25,£5.00/kg,null,fruits,2024-11-05
Tesco Pineapple Chunks 145G,null,null,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Organic Gala Apples 630G,£2.30,£3.65/kg,null,fruits,2024-11-05
Tesco Chia Seeds 150G,£1.20,£8.00/kg,null,fruits,2024-11-05
Tesco Mango 250G,£2.40,£9.60/kg,null,fruits,2024-11-05
Tesco Pumpkin Seeds 150G,£1.20,£8.00/kg,null,fruits,2024-11-05
Tesco Finest Blueberries 150G,£2.50,£16.67/kg,£2.00 Clubcard Price,fruits,2024-11-05
Tesco Organic Seasonal Apples,£2.40,£0.60/each,null,fruits,2024-11-05
Tesco Soft Apricots 250G,£2.00,£8.00/kg,null,fruits,2024-11-05
Tesco Finest Salted Caramelised Nut Selection 225G,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Cashew Nuts 25G,£0.70,£28.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Finest Snowball Melon,£2.50,£2.50/each,null,fruits,2024-11-05
Tesco Cashew Nuts Snack Pack 60G,£1.00,£1.67/100g,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Ripe And Ready 2 Pack Mango,£1.90,£0.95/each,null,fruits,2024-11-05
Tesco Raspberries 250G,£2.90,£11.60/kg,£2.45 Clubcard Price,fruits,2024-11-05
Tesco Plums 400G,£1.40,£3.50/kg,null,fruits,2024-11-05
Tesco Figs Minimum 3 Pack,£2.00,£0.67/each,null,fruits,2024-11-05
Tesco Chestnuts 400G,£3.00,£7.50/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Deglet Nourishing Dates 500G,£3.40,£6.80/kg,null,fruits,2024-11-05
Tesco Fruit And Nut Mix 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Cranberries 100G,£2.00,£20.00/kg,null,fruits,2024-11-05
Tesco Finest Roasted Nut Selection 190G,£3.70,£19.47/kg,null,fruits,2024-11-05
Tesco Melon & Grapes 300G,£2.40,£8.00/kg,null,fruits,2024-11-05
Tesco Pistachio Nuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Melon & Pineapple Finger 300G,£2.40,£8.00/kg,null,fruits,2024-11-05
Tesco Pineapple 500G,£3.20,£6.40/kg,null,fruits,2024-11-05
Tesco Large Fruit Platter 350G,£3.00,£8.57/kg,null,fruits,2024-11-05
Tesco Hazelnuts 200G,£2.65,£13.25/kg,null,fruits,2024-11-05
Tesco Watermelon & Mango 230G,£2.40,£10.44/kg,null,fruits,2024-11-05
Tesco Organic Medjool Dates 200G,£2.50,£12.50/kg,null,fruits,2024-11-05
Jordan River Dates 800G,£3.65,£4.56/kg,null,fruits,2024-11-05
Tesco Mango 450G,£4.00,£8.89/kg,null,fruits,2024-11-05
Tesco Finest Hickory Smoked Nut Selection 225G,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Rhubarb 400G,£2.50,£6.25/kg,null,fruits,2024-11-05
Tesco Flax Seeds 150G,£1.20,£8.00/kg,null,fruits,2024-11-05
Tesco Pink Lady Apple & Grape Pot 100G,£1.35,£13.50/kg,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Melon Slices 450G,£2.40,£5.33/kg,null,fruits,2024-11-05
Tesco Finest Maple Nut Selection 225G,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Belgian Dark Chocolate Brazil Nuts 225G,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Belgian Chocolate Nut Tray 285G,£6.25,£21.93/kg,£5.30 Clubcard Price,fruits,2024-11-05
Tesco Tropical Tray 250G,£2.40,£9.60/kg,null,fruits,2024-11-05
Tesco Seasonal Apples Minimum 5 Pack,£2.00,£0.40/each,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Tesco Milled Flax Seed Mix 175G,£1.75,£10.00/kg,£1.40 Clubcard Price,fruits,2024-11-05
Tesco Soft Figs 250G,£2.00,£8.00/kg,null,fruits,2024-11-05
Tesco Kiwi Strawberry & Melon 125G,null,null,null,fruits,2024-11-05
Tesco Organic Ripe & Ready Pears 550G,£2.50,£4.54/kg,null,fruits,2024-11-05
Tesco Mango Chunks 120G,£1.35,£11.25/kg,null,fruits,2024-11-05
Tesco Almonds 25G,£0.70,£28.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Mixed Nuts & Pecans 25G,£0.70,£28.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Fruit & Nut Snack Pot 55G,£1.00,£18.18/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Ripe Papaya Each,£1.90,£1.90/each,null,fruits,2024-11-05
Rosedene Farms Strawberries 227G,£1.69,£7.44/kg,null,fruits,2024-11-05
Tesco Finest Roasted Nut Selection With Sea Salt225g,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Snack Pack Mango 35G,£1.00,£28.57/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Chocolate Fruit & Nut Mix Snack Pack 60G,£1.00,£16.67/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Brazil Nut Snack Pack 60G,£1.00,£16.67/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Hazelnuts In Shell 350G,£3.00,£8.57/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Raisins And Cranberries 500G,£4.25,£8.50/kg,null,fruits,2024-11-05
Tesco Finest Fruit & Nut 190G,£3.70,£19.47/kg,null,fruits,2024-11-05
Tesco Finest Lime Infused Mango 100G,£3.60,£36.00/kg,null,fruits,2024-11-05
Tesco Organic Walnuts 100G,£3.00,£30.00/kg,null,fruits,2024-11-05
Tesco Cashew & Raisins 200G,null,null,null,fruits,2024-11-05
Tesco Mixed Nuts 225G,£3.00,£13.33/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Organic Mixed Nuts 200G,£3.30,£16.50/kg,null,fruits,2024-11-05
Tesco Organic Fair Trade Brazil Nuts 150G,£3.15,£21.00/kg,null,fruits,2024-11-05
Tesco Organic Fair Trade Cashew Nuts 150G,£3.20,£21.33/kg,null,fruits,2024-11-05
Tesco Finest Apples Minimum 4 Pack,£2.10,£0.52/each,null,fruits,2024-11-05
Tesco Pineapple Chunks 300G,£2.40,£8.00/kg,"£3.60 Meal Deal Clubcard Price £4 Meal Deal Regular Price - Selected Drink + Snack + Tesco Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Deliciously Ella Chocolate Orange Almonds 27G,£1.40,£5.18/100g,95p Clubcard Price,fruits,2024-11-05
Tesco Goji Berries 100G,£2.00,£20.00/kg,null,fruits,2024-11-05
Tesco Organic Almonds 200 G,£3.30,£16.50/kg,null,fruits,2024-11-05
Tesco Raisin Mix 200G,£2.00,£10.00/kg,null,fruits,2024-11-05
"Tesco Banana, Strawberries , Appl & Grapes 220G",null,null,null,fruits,2024-11-05
"Tesco Kiwi, Melon & Strawberries 250G",£2.40,£9.60/kg,null,fruits,2024-11-05
Tesco Mixed Berries 25G,£0.70,£28.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Finest White Chocolate & Coconut Hazelnuts 200G,£4.00,£20.00/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Pink Lady Apple And Grape Snack Pot 100G,£1.35,£13.50/kg,null,fruits,2024-11-05
Tesco Pecans 170G,£3.00,£17.65/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Pecan Nuts 100G,£2.40,£24.00/kg,null,fruits,2024-11-05
Tesco Coconut 80G,£1.35,£16.88/kg,null,fruits,2024-11-05
Tesco Grapes 110G,£1.35,£12.27/kg,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
"Tesco Kiwi, Melon & Strawberries 250G (C)",null,null,"£3.60 Meal Deal Clubcard Price £4 Meal Deal Regular Price - Selected Drink + Snack + Tesco Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Finest Sweet Cherry Fruit & Nut Selection 225G,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Pink Lady Apple Pot 80G,£1.35,£16.88/kg,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Apple & Strawberry 90G,£1.35,£15.00/kg,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Roasted Pistachio Nuts In Shell 200G,£3.00,£15.00/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Pomegranate 80G,null,null,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Finest Zamli Dates 200G,£2.50,£12.50/kg,£2.25 Clubcard Price,fruits,2024-11-05
Tesco Mango 250G,£2.40,£9.60/kg,"£3.60 Meal Deal Clubcard Price £4 Meal Deal Regular Price - Selected Drink + Snack + Tesco Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Mixed Raisins 60G,£1.00,£16.67/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Smoky Bbq Favour Nut Mix 25G,£0.75,£30.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Fruity Granola Shot 25G,£0.70,£2.80/100g,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Roasted Almonds 225G,£3.00,£13.33/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Nut Bites Mix Baklava Flavour 25G,£0.75,£30.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Coconut Each,£1.00,£1.00/each,null,fruits,2024-11-05
Tesco Peaches Minimum 4 Pack,£2.00,£0.50/each,null,fruits,2024-11-05
Tesco Roasted Cashew & Raisin Mix 225G,£3.00,£13.33/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Tropical Fruit Mix 125G,£3.60,£28.80/kg,null,fruits,2024-11-05
Tesco Winter Fruit Salad 400G,£3.50,£8.75/kg,null,fruits,2024-11-05
Tesco Finest Belgian Dark Chocolate Brazil Nuts 225G,null,null,null,fruits,2024-11-05
Tesco Pink Lady Apple 350G,£2.50,£7.14/kg,null,fruits,2024-11-05
"Tesco Apple, Mango Strawberry And Raspberry 210G",£2.40,£11.43/kg,null,fruits,2024-11-05
Tesco Mixed Nuts In Shell 350G,£3.00,£8.57/kg,£2.50 Clubcard Price,fruits,2024-11-05
Tesco Lemon and Limes 6 Pack,£1.50,£0.25/each,null,fruits,2024-11-05
Tesco Finest Hickory Smoked Nut Selection 225G,£4.00,£17.78/kg,null,fruits,2024-11-05
Tesco Grape & Berry Medley 230G,£2.40,£10.44/kg,null,fruits,2024-11-05
Tesco Coconut 80G,null,null,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Parrs Toffee Apples Each,£1.00,£1.00/each,90p Clubcard Price,fruits,2024-11-05
"Tesco Peanuts, Almond & Cashews Mix 600G",£3.00,£5.00/kg,£2.50 Clubcard Price,fruits,2024-11-05
Parrs Milk Chocolate Decorated Apples Each,£1.00,£1.00/each,90p Clubcard Price,fruits,2024-11-05
Tesco Snack Pack Almonds 60G,£1.00,£16.67/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Mango Chunks 120G,£1.35,£11.25/kg,"£5 Meal Deal Clubcard Price £5.50 Meal Deal Regular Price - Selected Drink + Snack + Tesco Finest* Or Branded Sandwich, Wrap, Roll, Salad Or Sushi",fruits,2024-11-05
Tesco Mixed Fruit & Nut 25G,£0.70,£28.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Sweet Easy Peeler Each,£0.30,£0.30/each,null,fruits,2024-11-05
Tesco Snack Pack Soft Apricots 50G,£1.00,£20.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Snacking Roasted Pistachio 50G(C),£1.00,£20.00/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Fin Mango Each,£2.00,£2.00/each,null,fruits,2024-11-05
Tesco Roasted Nut Snack Pack 55G,£1.00,£18.18/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Dried Fruit Or Nuts,fruits,2024-11-05
Tesco Finest Medjool Dates 500g,£5.00,£10.00/kg,£4.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Pink Lady Apple 4 Pack,£3.00,£0.75/each,null,fruits,2024-11-05
Tesco Apple Family Bag 1.5Kg,£3.00,£2.00/kg,null,fruits,2024-11-05
Zespri SunGold Jumbo Kiwi,£0.95,£0.95/each,null,fruits,2024-11-05
Date Me Deglet Nour Dates 200g,£1.25,£6.25/kg,null,fruits,2024-11-05
Tesco Apple With Peanut Butter Dip 110G,£1.75,£15.91/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Better Snacking,fruits,2024-11-05
Tesco Apples Grapes & Mild Cheddar Cheese 130G,£1.75,£13.46/kg,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Better Snacking,fruits,2024-11-05
Tesco Plantain EACH,£0.75,£0.75/each,null,fruits,2024-11-05
Zespri SunGold Kiwi 4pk,£2.50,£0.62/each,null,fruits,2024-11-05
Tesco Kiwi Fruits 6 Pack,£1.19,£0.20/each,null,fruits,2024-11-05
Tesco Pine Nuts 100G 100G,£3.90,£39.00/kg,null,fruits,2024-11-05
Whitworths Wondermix Think Sharp Trail Mix 200g,£3.50,£17.50/kg,null,fruits,2024-11-05
Whitworths Wondermix Feel Strong Nut Mix 190g,£3.50,£18.42/kg,null,fruits,2024-11-05
Whitworths Wondermix Fight Fatigue Fruit & Nut Mix 200g,£3.50,£17.50/kg,null,fruits,2024-11-05
Tesco Finest Citrusy Chocolate Nut Selection 225G,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Blonde Chocolate Hazelnuts 125g,£4.50,£36.00/kg,£4.00 Clubcard Price,fruits,2024-11-05
Tesco Finest Blonde Chocolate Nut Selection 260g,£6.25,£24.04/kg,£5.30 Clubcard Price,fruits,2024-11-05
Tesco Finest Blonde Chocolate Nut Tray 260g,£6.25,£24.04/kg,£5.30 Clubcard Price,fruits,2024-11-05
Tesco Finest Cinnamon Roasted Nut Selection 225G,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Belgian Blonde Chocolate Nut Selection 225g,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Belgian Chocolate Almond Selection 225g,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Tesco Finest Sweet Maple Chilli & Smoked Nut Selection 225g,£4.00,£17.78/kg,£3.50 Clubcard Price,fruits,2024-11-05
Jaffa Tropical Grapes 500g,£2.50,£5.00/kg,null,fruits,2024-11-05
Tesco Finest Pitted Medjool Dates 200g,£3.00,£15.00/kg,£2.50 Clubcard Price,fruits,2024-11-05
Jaffa Candy Grapes 500g,£2.50,£5.00/kg,null,fruits,2024-11-05
Jaffa Crunchy Grapes 500g,£2.50,£5.00/kg,null,fruits,2024-11-05
Tesco Grapes & Strawberries 115G,£1.35,£11.74/kg,null,fruits,2024-11-05
Tesco Mango & Passionfruit Pot 250g,£2.50,£10.00/kg,null,fruits,2024-11-05
Tesco Screamy Toffee Apple 110g,null,null,£1.50 Clubcard Price,fruits,2024-11-05
Jaffa Supersweet Pineapple,£2.25,£2.25/each,Any 2 for £3 Clubcard Price - Selected Fruits,fruits,2024-11-05
Rosedene Farms Blueberries 150G,£1.69,£11.27/kg,null,fruits,2024-11-05
Parrs Dark Chocolate Coated Apple with Honeycomb Pieces,£1.00,£1.00/each,90p Clubcard Price,fruits,2024-11-05
Tesco Sweet Peppers 500G,£1.79,£3.58/kg,null,vegetables,2024-11-05
Nightingale Farms Peppers 375G,£1.59,£4.24/kg,null,vegetables,2024-11-05
Tesco Red Onions 3Pack Minimum,£1.00,£0.33/each,null,vegetables,2024-11-05
Tesco Courgettes Loose,£0.52,£2.58/kg,null,vegetables,2024-11-05
Tesco Baby Button Mushrooms 200G,£1.15,£5.75/kg,null,vegetables,2024-11-05
Tesco Brown Onions Minimum 3 Pack 385G,£1.00,£2.60/kg,null,vegetables,2024-11-05
Tesco Chestnut Vitamin D Mushrooms 250G,£1.10,£4.40/kg,null,vegetables,2024-11-05
Tesco Leeks 500G,£1.39,£2.78/kg,null,vegetables,2024-11-05
Tesco Baby Spinach 250G,£1.15,£4.60/kg,null,vegetables,2024-11-05
Tesco Brown Onions 1Kg,£0.99,£0.99/kg,null,vegetables,2024-11-05
Tesco Finest Baby Potatoes 750G,£1.40,£1.87/kg,99p Clubcard Price,vegetables,2024-11-05
Tesco Tenderstem Broccoli 200G,£1.60,£8.00/kg,null,vegetables,2024-11-05
Tesco Broccoli Loose,£0.82,£2.19/kg,null,vegetables,2024-11-05
Tesco Swede,£0.63,£0.63/each,null,vegetables,2024-11-05
Tesco Brown Onions Loose,£0.11,£0.95/kg,null,vegetables,2024-11-05
Tesco Fine Beans 200G,£1.30,£6.50/kg,99p Clubcard Price,vegetables,2024-11-05
Tesco Carrots 1Kg,£0.69,£0.69/kg,null,vegetables,2024-11-05
Tesco Parsnips 500G,£0.75,£1.50/kg,null,vegetables,2024-11-05
Tesco Red Peppers Each,£0.59,£0.59/each,null,vegetables,2024-11-05
Tesco Broccoli 375G,£0.82,£2.19/kg,null,vegetables,2024-11-05
Tesco Parsnips Loose,£0.23,£1.50/kg,null,vegetables,2024-11-05
Tesco Red Onions Loose,£0.20,£0.95/kg,null,vegetables,2024-11-05
Tesco Carrots Loose,£0.11,£0.69/kg,null,vegetables,2024-11-05
