Name,Price,Discount price,Category,Subcategory,Store_Name,Year,Month,Day,Standardised price per unit,Unit_each,Unit_kg,Unit_litre
Sainsbury's Tangerines 600g,1.5,,fresh_food,fruits,Sainsburys,2024,12,18,2.5,0.0,1.0,0.0
Sainsbury's Pomegranate 80g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,16.88,0.0,1.0,0.0
Stamford Street Co. Seedless Grapes,1.69,,fresh_food,fruits,Sainsburys,2024,12,18,3.38,0.0,1.0,0.0
"Sainsbury's Medjool Dates, Taste the Difference 200g",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,12.5,0.0,1.0,0.0
"Sainsbury's Blueberries, SO Organic 150g",2.8,,fresh_food,fruits,Sainsburys,2024,12,18,18.67,0.0,1.0,0.0
Sainsbury's Oranges,0.3,,fresh_food,fruits,Sainsburys,2024,12,18,0.3,1.0,0.0,0.0
Sainsbury's Mango Single,1.2,,fresh_food,fruits,Sainsburys,2024,12,18,1.2,1.0,0.0,0.0
Stamford Street Co. Mini Pears 550g,0.99,,fresh_food,fruits,Sainsburys,2024,12,18,1.8,0.0,1.0,0.0
Sainsbury's Cantaloupe Melon,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,2.0,1.0,0.0,0.0
Sainsbury's Ripe & Ready Kiwi x4,1.4,,fresh_food,fruits,Sainsburys,2024,12,18,0.35,1.0,0.0,0.0
"Sainsbury's Lemons Unwaxed, SO Organic x3",1.9,,fresh_food,fruits,Sainsburys,2024,12,18,0.63,1.0,0.0,0.0
Sainsbury's Figs 140g,2.0,1.7,fresh_food,fruits,Sainsburys,2024,12,18,0.67,1.0,0.0,0.0
"Sainsbury's Gold Kiwi, Taste the Difference",2.5,,fresh_food,fruits,Sainsburys,2024,12,18,0.63,1.0,0.0,0.0
Sainsbury's Best Of British Apples x6,1.7,,fresh_food,fruits,Sainsburys,2024,12,18,0.28,1.0,0.0,0.0
Sainsbury's Apples 1kg,2.0,,fresh_food,fruits,Sainsburys,2024,12,18,2.0,0.0,1.0,0.0
Sainsbury's Mango 120g,1.35,,fresh_food,fruits,Sainsburys,2024,12,18,11.25,0.0,1.0,0.0
Sainsbury's Nectarine Punnet (Min x4),2.2,,fresh_food,fruits,Sainsburys,2024,12,18,0.55,1.0,0.0,0.0
