Food_Adjective
green
red
yellow
ripe
fresh
frozen
organic
minced
whole
semi-skimmed
skimmed
grated
shredded
sliced
smoked
roasted
raw
dried
cooked
boneless
low-fat
full-fat
unsalted
salted
soft
hard
creamy
mature
mild
sweet
sour
plain
flavoured
instant
canned
chopped
lean
thick
thin
baked
brown
white
golden
multigrain
crushed
peeled
seedless
juicy
